83817_E06	-0.018	0.0036	-0.0013	-0.0009	0.0165	0.0037	-0.0055	0.0054	-0.0099	-0.0076	Italy	South
83817_E07	-0.0228	0.0009	0.0065	-0.0094	0.0034	-0.0079	-0.0253	0.0038	0.006	0.0113	Italy	South
83817_E08	-0.0327	0.0116	0.0086	-0.0056	-0.0268	-0.0228	0.0029	-0.0068	-0.0082	0.0089	Italy	South
83817_E09	-0.0202	0.0008	0.004	-0.0042	0.0126	-0.0	0.0243	0.016	-0.0076	-0.0137	Italy	South
83817_E10	-0.0235	0.0019	0.007	-0.0085	-0.002	0.0048	-0.005	-0.0174	-0.0051	-0.0131	Italy	South
83817_E11	-0.0067	0.0077	-0.012	0.0064	-0.0056	-0.0044	-0.0204	0.0087	-0.0071	0.0073	Italy	South
83817_E12	-0.0175	-0.0015	0.0009	-0.0054	0.0093	0.0123	-0.0079	0.0031	-0.0181	-0.007	Italy	South
83817_F01	-0.0241	0.0031	0.001	-0.0026	-0.008	0.0019	0.004	0.0071	-0.0063	-0.0013	Italy	South
83817_F03	-0.0206	0.007	0.003	-0.0071	-0.0027	0.0037	-0.0145	0.0015	-0.0003	-0.0108	Italy	South
83817_F04	-0.028	0.0078	0.0113	-0.0021	-0.0032	-0.0001	0.0024	0.0008	0.0181	0.0067	Italy	South
83817_F05	-0.0184	0.0038	0.0018	-0.0012	-0.0066	-0.0035	0.0273	0.0061	0.0046	0.0029	Italy	South
83817_F06	-0.0249	0.007	0.0091	-0.0036	-0.0043	-0.0023	0.0008	-0.0175	-0.0033	0.0249	Italy	South
83817_F07	-0.0182	0.0018	0.0067	-0.0033	0.0031	0.0066	0.0076	0.0183	-0.01	-0.0022	Italy	South
83817_F08	-0.0234	0.0051	0.0064	-0.0013	0.0001	-0.0054	0.0083	0.0046	-0.0135	0.0001	Italy	South
83817_F09	-0.0109	-0.0035	0.0008	-0.008	-0.0027	0.0078	-0.0181	-0.0004	-0.0052	-0.0018	Italy	South
83817_F10	-0.0152	0.0049	-0.0031	0.0026	0.0019	0.0091	0.0008	0.0036	0.0067	-0.0022	Italy	South
83817_F11	-0.0312	0.0124	0.0107	-0.0047	-0.0112	-0.009	0.0042	-0.0179	0.0037	-0.0034	Italy	South
83817_F12	-0.0224	0.0044	0.002	-0.0031	0.0002	-0.0032	-0.007	0.0017	-0.0056	0.0096	Italy	South
83817_G01	-0.021	0.0022	-0.0017	0.0015	-0.003	-0.0031	-0.0249	0.0148	0.0002	0.0012	Italy	South
83817_G03	-0.0262	0.0091	0.0087	0.0004	-0.011	-0.0143	0.0097	-0.0127	0.0144	-0.0027	Italy	South
83817_G04	-0.0334	0.003	0.01	-0.0051	0.0201	0.0069	-0.006	0.0087	-0.0102	-0.0074	Italy	South
83817_G05	-0.0215	0.0049	0.0027	0.0079	-0.001	-0.0044	-0.0258	-0.0045	0.0027	0.017	Italy	South
83817_G06	-0.0355	0.0147	0.012	-0.0052	-0.0281	-0.0209	0.0235	0.027	0.0039	0.007	Italy	South
83817_G07	-0.0286	0.0114	0.0061	-0.0096	-0.0156	-0.0157	0.0068	0.0086	-0.0107	-0.0032	Italy	South
83817_G08	-0.0346	-0.0011	0.0095	-0.005	0.0453	0.0167	-0.002	-0.009	0.0032	0.0103	Italy	South
83817_G09	-0.0214	0.0024	0.0059	0.0022	0.0069	0.0061	-0.0004	0.0099	0.0189	0.0027	Italy	South
83817_G10	-0.0306	0.0136	0.0123	-0.0071	-0.022	-0.0103	0.0075	0.0039	-0.0036	-0.0117	Italy	South
83817_G11	-0.0177	0.004	0.0005	0.0034	-0.0061	-0.0011	-0.0091	0.0191	0.0162	0.0145	Italy	South
83817_G12	-0.0345	-0.0043	0.0119	-0.0108	0.054	0.0324	-0.0209	0.0121	0.0243	0.0053	Italy	South
83817_H01	-0.0336	0.0097	0.0106	-0.0071	-0.0146	-0.0082	0.0097	0.0016	0.0177	0.0053	Italy	South
83817_H03	-0.0226	0.0015	0.0043	-0.0024	0.0033	-0.0033	-0.007	-0.0096	-0.0038	0.0048	Italy	South
83817_H04	-0.0189	-0.0011	0.0036	-0.0018	0.0077	0.0021	0.0185	0.0078	-0.0006	0.0014	Italy	South
83817_H05	-0.0184	0.0051	0.0041	-0.0028	0.0032	-0.0021	0.009	0.0011	-0.0026	0.0067	Italy	South
83817_H06	-0.0188	0.005	0.0011	0.0007	0.0043	0.0028	-0.003	-0.003	-0.0047	0.0013	Italy	South
