id	pop	pc1	pc2	pc3	pc4	pc5	pc6	pc7	pc8	pc9	pc10	group
103967_H06	Norway	0.0093	-0.0013	-0.008	0	-0.0101	0.0097	0.0045	-0.0095	0.0008	0.0031	North
103967_H07	Norway	0.0094	-0.0023	-0.0101	0.0003	-0.0013	0.0061	0.0131	0.0026	0.0058	0.0086	North
103968_A09	Italy	-0.017	-0.0006	-0.0067	-0.0064	-0.0079	-0.0016	0.008	-0.0041	0.0032	-0.009	South
103968_A10	Italy	-0.0198	-0.0051	-0.005	-0.0065	-0.0069	-0.0017	-0.0016	-0.0076	-0.0097	0.0039	South
103968_B09	Italy	-0.0206	0	-0.0047	-0.0147	-0.0204	-0.0039	-0.0033	-0.003	0.0005	-0.0018	South
103968_B10	Italy	-0.0297	-0.0098	-0.0052	0.0055	0.0139	0.0185	-0.003	-0.0003	0.0049	-0.004	South
103968_C08	Italy	-0.0307	-0.0095	-0.0088	0.0058	0.0109	0.0154	0.0076	0.0016	0.0064	0.0033	South
103968_C10	Italy	-0.0312	-0.0113	-0.0099	0.0056	0.0096	0.0152	-0.0088	-0.002	-0.0002	0.0069	South
103968_C12	Denmark	0.0048	-0.0042	-0.0069	-0.0058	0.0077	-0.0067	-0.0038	-0.0081	-0.0081	-0.0084	North
103968_D08	Italy	-0.0191	-0.0025	0.0016	-0.0047	-0.0118	0.0051	0.0031	0.003	-0.0134	-0.007	South
103968_D09	Italy	-0.0196	-0.0002	-0.004	-0.0011	-0.0125	0.0055	-0.0103	0.0022	-0.0059	0.002	South
103968_E08	Italy	-0.0206	-0.0038	-0.0022	-0.0018	-0.0076	0.0012	-0.0024	0	-0.0075	0.0011	South
103968_E09	Italy	-0.0188	-0.0006	-0.0059	-0.005	-0.0153	0.0027	-0.0048	-0.0073	0.0079	-0.0015	South
103968_E12	Italy	-0.0179	-0.0024	-0.0002	-0.0102	-0.0083	0.0002	-0.0045	0.0056	0.0047	-0.0223	South
103968_F08	Italy	-0.0226	0.0005	-0.0052	-0.0009	-0.004	0.0031	0.0024	0.0041	-0.001	-0.0033	South
103968_F09	Italy	-0.0158	0.0075	0.0053	0.0018	-0.0179	-0.0206	-0.0017	0.002	-0.0034	0.0004	South
103968_F12	Italy	-0.0176	-0.0013	-0.001	-0.0026	-0.0074	0.0027	0.0059	0.0015	-0.0012	-0.0021	South
103968_G08	Italy	-0.0164	-0.0024	0.0005	-0.003	-0.0174	0.0099	0.0018	-0.0074	-0.0003	-0.0022	South
103968_G09	Italy	-0.0294	-0.0132	-0.007	-0.0034	0.0099	0.0226	-0.0086	0.0068	0.0027	-0.0058	South
103968_G11	Denmark	0.0075	0.0005	-0.0056	-0.009	0.0111	-0.0018	-0.0001	0.0034	0.0071	-0.0029	North
103968_H08	Italy	-0.0316	-0.0126	-0.014	0.0009	0.0025	0.0062	-0.0004	0.0045	-0.0009	-0.0023	South
103968_H09	Italy	-0.0347	0.0053	-0.0089	-0.0123	-0.0566	-0.0287	0.0148	0.002	-0.0023	-0.0035	South
103968_H12	Denmark	0.0064	0.0024	-0.0053	-0.0048	0.0093	-0.0027	0.0078	0.0033	0.0116	0.0024	North
103969_A01	Denmark	0.0075	-0.0001	-0.0032	-0.0088	0.0039	-0.009	0.0063	-0.0017	0.0046	-0.0014	North
103969_A02	Belgium	-0.0015	-0.0028	0.0043	-0.0033	-0.0017	-0.0035	-0.001	-0.003	0.0087	-0.003	West
103969_A03	Belgium	-0.0033	0.0059	0.0001	-0.0034	0.0089	0.0021	-0.0013	-0.0075	0.0031	0.0041	West
103969_A04	Belgium	-0.0028	0.0071	0.0031	-0.0003	-0.008	-0.0012	0.0049	0.0023	0.0036	0.0014	West
103969_A05	Belgium	-0.001	-0.0007	0.0009	-0.0011	0.0015	-0.0003	-0.0015	-0.0056	0.0014	-0.0102	West
103969_A06	Belgium	0.0006	0.0036	0.0012	-0.0057	0.0056	-0.0009	-0.0057	0.0003	-0.001	-0.0051	West
103969_A07	Belgium	0.0004	0.0082	-0.0039	-0.0034	0.0038	-0.0162	0.0016	0.0024	-0.0025	-0.0002	West
103969_A09	Italy	-0.0169	0.001	-0.0021	-0.0094	-0.0119	0.0022	0.0018	-0.0015	-0.0014	0.0007	South
103969_A10	Germany	0.0055	-0.0081	0.0036	-0.0088	0.0065	-0.0024	-0.0049	-0.0086	-0.0034	-0.0006	Central
103969_A11	Germany	0.0055	-0.0181	0.0188	-0.0078	-0.0058	-0.0065	0.0141	-0.0008	0.0022	-0.0019	Central
103969_B01	Denmark	0.0062	0.0017	-0.0153	-0.0056	-0.0045	-0.002	0.0151	0.0032	-0.0023	-0.011	North
103969_B03	Belgium	-0.0018	0.0043	-0.0034	-0.0044	0.0057	-0.0024	0.0015	0.006	0.0013	0.01	West
103969_B04	Belgium	-0.0009	0.0007	-0.0034	-0.0039	0.0063	-0.0063	-0.0043	-0.0082	0.0078	-0.0044	West
103969_B05	Belgium	0.0011	0.0007	-0.0046	-0.0099	0.0015	-0.0032	-0.0032	-0.0016	-0.0031	0.0096	West
103969_B06	Belgium	-0.0001	0.0042	0.0007	-0.006	0.0062	-0.0044	-0.016	-0.004	-0.0118	-0.0041	West
103969_B07	Belgium	-0.0033	0.0044	-0.0052	-0.0033	0.0048	-0.0049	-0.0019	-0.0005	-0.0049	0.001	West
103969_B08	Belgium	-0.0037	0.0021	0.0018	-0.0076	0.0045	-0.0096	-0.0025	0.0012	-0.004	-0.0027	West
103969_B09	Italy	-0.0334	-0.0116	-0.0094	0.0001	0.0051	0.0207	-0.0039	0.0063	0.0032	0.0043	South
103969_B10	Germany	-0.0023	0.0017	0.0015	-0.0108	0.0067	0.0036	0.0012	-0.0041	0.0071	-0.0025	Central
103969_B11	Germany	0.0002	0.006	-0.0082	-0.0172	0.0094	-0.0108	-0.0105	-0.0007	0.011	-0.0009	Central
103969_B12	Germany	0.0036	-0.0088	0.0081	-0.0074	0.0036	-0.0064	0.0004	0.0054	0.004	0.0098	Central
103969_C01	Denmark	0.0044	-0.002	-0.0019	-0.0074	-0.0081	0.002	-0.0085	-0.0022	0.0074	-0.003	North
103969_C03	Belgium	-0.0016	0.0017	-0.0032	-0.0081	-0.0019	-0.0056	0.0048	-0.0012	-0.0038	0.0047	West
103969_C04	Belgium	-0.0025	0.0005	-0.001	-0.0083	0.0053	-0.005	-0.0044	-0.0068	-0.0014	-0.0025	West
103969_C05	Belgium	-0.0031	0.0019	0.0025	-0.0016	0.0046	-0.0111	-0.004	-0.0077	-0.0098	0.0091	West
103969_C06	Belgium	-0.0018	0.0065	-0.0023	-0.0053	0.0069	-0.0058	-0.0063	0.0036	-0.0095	0.0012	West
